"year","julian","site","bay","temperature"
2019,237,"Back Bay eelgrass","Anton Larson Bay",14.3
2019,237,"Wooden boat","Anton Larson Bay",14.3
2019,237,"Laminaria #2","Anton Larson Bay",14.6
2019,237,"Eelgrass patches","Anton Larson Bay",15.6
2019,237,"Laminaria Point","Anton Larson Bay",15.2
2019,237,"Eelgrass point","Anton Larson Bay",15.4
2019,237,"Cobble point","Anton Larson Bay",14.9
2018,233,"Bare North","Cook Bay",11.4
2018,233,"Middle Cove","Cook Bay",10.9
2018,233,"Eelgrass North","Cook Bay",11.5
2018,233,"Laminaria North","Cook Bay",11.7
2018,233,"Laminaria South","Cook Bay",11.5
2018,233,"Eelgrass South","Cook Bay",11.7
2018,233,"Eelgrass West","Cook Bay",11.9
2018,233,"Laminaria East","Cook Bay",11.4
2018,234,"Laminaria East","Cook Bay",10.8
2018,234,"Eelgrass South","Cook Bay",10.8
2018,234,"Laminaria South","Cook Bay",10.8
2018,234,"Eelgrass West","Cook Bay",11.4
2018,234,"Laminaria North","Cook Bay",11.3
2018,234,"Eelgrass North","Cook Bay",11.3
2018,234,"Middle Cove","Cook Bay",11.1
2018,234,"Bare North","Cook Bay",11.1
2018,235,"Laminaria Point","Anton Larson Bay",12.5
2018,235,"Eelgrass point","Anton Larson Bay",11.9
2018,235,"Eelgrass patches","Anton Larson Bay",12.3
2018,235,"Cobble point","Anton Larson Bay",12.3
